Support Vector Machine: Gaussian/RBF Kernel,,,,
,,,,
User, Accuracy, F-Score, Precision, Recall
0,0.968153,0.943304843,0.974242424,0.938271605
1,0.96748,0.952299552,0.970238095,0.950617284
2,0.967742,0.953610068,0.972047152,0.950617284
3,0.571429,0.531021099,0.530313051,0.560185185
4,0.860759,0.856315626,0.866666667,0.85462963
5,0.924051,0.924035852,0.928122495,0.925925926
6,0.736842,0.738793607,0.752336861,0.737654321
7,0.975,0.975232198,0.977777778,0.975308642
8,0,0,0,0
9,0.822785,0.818770783,0.815909091,0.825617284
10,0.935897,0.937784449,0.954700855,0.936728395
11,0.85,0.849409471,0.851707552,0.851851852
12,0.860759,0.844312169,0.895622896,0.854938272
13,0.875,0.873581011,0.874603175,0.87654321
14,0.844156,0.77901581,0.801388889,0.807098765
15,0.8625,0.858349578,0.864197531,0.864197531
16,0.7625,0.743871463,0.751299318,0.75617284
17,0.7125,0.725473242,0.750154321,0.716049383
18,0.480519,0.428217851,0.409225343,0.458333333
19,0.884615,0.874466559,0.929166667,0.874779541
20,0.95,0.942760943,0.965811966,0.944444444
21,0.95,0.945446951,0.957575758,0.950617284
22,0.85,0.849630203,0.851587302,0.851851852
23,0.772152,0.745426989,0.782250157,0.760802469
24,0.519481,0.494945027,0.497863248,0.50308642
25,0.675,0.673526198,0.699860633,0.679012346
26,0.825,0.822809884,0.828872054,0.824074074
27,0.493506,0.50438662,0.563689179,0.489638448
28,0.85,0.854759584,0.865720699,0.851851852
29,0.95,0.951228835,0.95308642,0.950617284
30,0.85,0.840342823,0.863484047,0.845679012
31,0.775,0.761403677,0.761728395,0.768518519
All,0.791338313,0.781079155,0.795664063,0.785491071
